date,home_team,away_team,home_score,away_score,tournament,country,neutral
1899-03-04,Ireland,Wales,1,0,British Championship,Ireland,FALSE
1899-03-18,Wales,Scotland,0,6,British Championship,Wales,FALSE
1899-03-20,England,Wales,4,0,British Championship,England,FALSE
1899-03-25,Scotland,Ireland,9,1,British Championship,Scotland,FALSE
1899-04-08,England,Scotland,2,1,British Championship,England,FALSE
03/02/1900,Scotland,Wales,5,2,British Championship,Scotland,FALSE
24/02/1900,Wales,Ireland,2,0,British Championship,Wales,FALSE
03/03/1900,Ireland,Scotland,0,3,British Championship,Ireland,FALSE
17/03/1900,Ireland,England,0,2,British Championship,Ireland,FALSE
26/03/1900,Wales,England,1,1,British Championship,Wales,FALSE
07/04/1900,Scotland,England,4,1,British Championship,Scotland,FALSE
23/02/1901,Scotland,Ireland,11,0,British Championship,Scotland,FALSE
02/03/1901,Wales,Scotland,1,1,British Championship,Wales,FALSE
09/03/1901,England,Ireland,3,0,British Championship,England,FALSE
18/03/1901,England,Wales,6,0,British Championship,England,FALSE
23/03/1901,Ireland,Wales,0,1,British Championship,Ireland,FALSE
30/03/1901,England,Scotland,2,2,British Championship,England,FALSE
22/02/1902,Wales,Ireland,0,3,British Championship,Wales,FALSE
01/03/1902,Ireland,Scotland,1,5,British Championship,Ireland,FALSE
03/03/1902,Wales,England,0,0,British Championship,Wales,FALSE
15/03/1902,Scotland,Wales,5,1,British Championship,Scotland,FALSE
22/03/1902,Ireland,England,0,1,British Championship,Ireland,FALSE
05/04/1902,Scotland,England,1,1,British Championship,Scotland,FALSE
03/05/1902,England,Scotland,2,2,British Championship,England,FALSE
20/07/1902,Uruguay,Argentina,0,6,Friendly,Uruguay,FALSE
09/08/1902,Ireland,Scotland,0,3,Friendly,Ireland,FALSE
12/10/1902,Austria,Hungary,5,0,Friendly,Austria,FALSE
14/02/1903,England,Ireland,4,0,British Championship,England,FALSE
02/03/1903,England,Wales,2,1,British Championship,England,FALSE
09/03/1903,Wales,Scotland,0,1,British Championship,Wales,FALSE
21/03/1903,Scotland,Ireland,0,2,British Championship,Scotland,FALSE
28/03/1903,Ireland,Wales,2,0,British Championship,Ireland,FALSE
04/04/1903,England,Scotland,1,2,British Championship,England,FALSE
05/04/1903,Hungary,Bohemia,2,1,Friendly,Hungary,FALSE
11/06/1903,Hungary,Austria,3,2,Friendly,Hungary,FALSE
13/09/1903,Argentina,Uruguay,2,3,Friendly,Argentina,FALSE
11/10/1903,Austria,Hungary,4,2,Friendly,Austria,FALSE
29/02/1904,Wales,England,2,2,British Championship,Wales,FALSE
12/03/1904,Scotland,Wales,1,1,British Championship,Scotland,FALSE
12/03/1904,Ireland,England,1,3,British Championship,Ireland,FALSE
21/03/1904,Wales,Ireland,0,1,British Championship,Wales,FALSE
26/03/1904,Ireland,Scotland,1,1,British Championship,Ireland,FALSE
09/04/1904,Scotland,England,0,1,British Championship,Scotland,FALSE
01/05/1904,Belgium,France,3,3,Friendly,Belgium,FALSE
02/06/1904,Hungary,Austria,3,0,Friendly,Hungary,FALSE
09/10/1904,Austria,Hungary,5,4,Friendly,Austria,FALSE
12/02/1905,France,Switzerland,1,0,Friendly,France,FALSE
25/02/1905,England,Ireland,1,1,British Championship,England,FALSE
06/03/1905,Wales,Scotland,3,1,British Championship,Wales,FALSE
18/03/1905,Scotland,Ireland,4,0,British Championship,Scotland,FALSE
27/03/1905,England,Wales,3,1,British Championship,England,FALSE
01/04/1905,England,Scotland,1,0,British Championship,England,FALSE
08/04/1905,Ireland,Wales,2,2,British Championship,Ireland,FALSE
09/04/1905,Hungary,Austria,0,0,Friendly,Hungary,FALSE
30/04/1905,Belgium,Netherlands,1,4,Friendly,Belgium,FALSE
07/05/1905,Belgium,France,7,0,Friendly,Belgium,FALSE
14/05/1905,Netherlands,Belgium,4,0,Friendly,Netherlands,FALSE
21/07/1905,British Guiana,Trinidad and Tobago,1,4,Friendly,British Guiana,FALSE
15/08/1905,Argentina,Uruguay,0,0,Lipton Cup,Argentina,FALSE
17/02/1906,Ireland,England,0,5,British Championship,Ireland,FALSE
03/03/1906,Scotland,Wales,0,2,British Championship,Scotland,FALSE
17/03/1906,Ireland,Scotland,0,1,British Championship,Ireland,FALSE
19/03/1906,Wales,England,0,1,British Championship,Wales,FALSE
01/04/1906,Hungary,Bohemia,1,1,Friendly,Hungary,FALSE
02/04/1906,Wales,Ireland,4,4,British Championship,Wales,FALSE
07/04/1906,Scotland,England,2,1,British Championship,Scotland,FALSE
22/04/1906,France,Belgium,0,5,Friendly,France,FALSE
29/04/1906,Belgium,Netherlands,5,0,Friendly,Belgium,FALSE
13/05/1906,Netherlands,Belgium,2,3,Friendly,Netherlands,FALSE
09/07/1906,Argentina,South Africa,0,1,Friendly,Argentina,FALSE
15/08/1906,Uruguay,Argentina,0,2,Lipton Cup,Uruguay,FALSE
07/10/1906,Bohemia,Hungary,4,4,Friendly,Bohemia,FALSE
21/10/1906,Argentina,Uruguay,2,1,Newton Cup,Argentina,FALSE
01/11/1906,France,England,0,15,Friendly,France,FALSE
04/11/1906,Hungary,Austria,3,1,Friendly,Hungary,FALSE
16/02/1907,England,Ireland,1,0,British Championship,England,FALSE
23/02/1907,Ireland,Wales,2,3,British Championship,Ireland,FALSE
04/03/1907,Wales,Scotland,1,0,British Championship,Wales,FALSE
16/03/1907,Scotland,Ireland,3,0,British Championship,Scotland,FALSE
18/03/1907,England,Wales,1,1,British Championship,England,FALSE
01/04/1907,Netherlands,England,1,8,Friendly,Netherlands,FALSE
06/04/1907,England,Scotland,1,1,British Championship,England,FALSE
07/04/1907,Hungary,Bohemia,5,2,Friendly,Hungary,FALSE
14/04/1907,Belgium,Netherlands,1,3,Friendly,Belgium,FALSE
21/04/1907,Belgium,France,1,2,Friendly,Belgium,FALSE
05/05/1907,Austria,Hungary,3,1,Friendly,Austria,FALSE
09/05/1907,Netherlands,Belgium,1,2,Friendly,Netherlands,FALSE
15/08/1907,Argentina,Uruguay,2,1,Lipton Cup,Argentina,FALSE
06/10/1907,Uruguay,Argentina,1,2,Newton Cup,Uruguay,FALSE
06/10/1907,Bohemia,Hungary,5,3,Friendly,Bohemia,FALSE
03/11/1907,Hungary,Austria,4,1,Friendly,Hungary,FALSE
21/12/1907,England,Netherlands,12,2,Friendly,England,FALSE
15/02/1908,Ireland,England,1,3,British Championship,Ireland,FALSE
07/03/1908,Scotland,Wales,2,1,British Championship,Scotland,FALSE
08/03/1908,Switzerland,France,1,2,Friendly,Switzerland,FALSE
14/03/1908,Ireland,Scotland,0,5,British Championship,Ireland,FALSE
16/03/1908,Wales,England,1,7,British Championship,Wales,FALSE
23/03/1908,England,France,12,0,Friendly,England,FALSE
29/03/1908,Belgium,Netherlands,1,4,Friendly,Belgium,FALSE
04/04/1908,Scotland,England,1,1,British Championship,Scotland,FALSE
05/04/1908,Hungary,Bohemia,5,2,Friendly,Hungary,FALSE
05/04/1908,Switzerland,Germany,5,3,Friendly,Switzerland,FALSE
11/04/1908,Wales,Ireland,0,1,British Championship,Wales,FALSE
12/04/1908,France,Belgium,1,2,Friendly,France,FALSE
18/04/1908,Belgium,England,2,8,Friendly,Belgium,FALSE
20/04/1908,Germany,England,1,5,Friendly,Germany,FALSE
26/04/1908,Netherlands,Belgium,3,1,Friendly,Netherlands,FALSE
03/05/1908,Austria,Hungary,4,0,Friendly,Austria,FALSE
10/05/1908,Netherlands,France,4,1,Friendly,Netherlands,FALSE
06/06/1908,Austria,England,1,6,Friendly,Austria,FALSE
07/06/1908,Austria,Germany,3,2,Friendly,Austria,FALSE
08/06/1908,Austria,England,1,11,Friendly,Austria,FALSE
10/06/1908,Hungary,England,0,7,Friendly,Hungary,FALSE
13/06/1908,Bohemia,England,0,4,Friendly,Bohemia,FALSE
12/07/1908,Sweden,Norway,11,3,Friendly,Sweden,FALSE
15/08/1908,Uruguay,Argentina,2,2,Lipton Cup,Uruguay,FALSE
08/09/1908,Sweden,England,1,6,Friendly,Sweden,FALSE
13/09/1908,Argentina,Uruguay,2,1,Newton Cup,Argentina,FALSE
04/10/1908,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Argentina,FALSE
19/10/1908,Denmark,France,9,0,Olympic Games,England,TRUE
20/10/1908,England,Sweden,12,1,Olympic Games,England,FALSE
22/10/1908,England,Netherlands,4,0,Olympic Games,England,FALSE
22/10/1908,Denmark,France,17,1,Olympic Games,England,TRUE
23/10/1908,Netherlands,Sweden,2,0,Olympic Games,England,TRUE
24/10/1908,England,Denmark,2,0,Olympic Games,England,FALSE
25/10/1908,Netherlands,Sweden,5,3,Friendly,Netherlands,FALSE
26/10/1908,Belgium,Sweden,2,1,Friendly,Belgium,FALSE
01/11/1908,Hungary,Austria,5,3,Friendly,Hungary,FALSE
13/02/1909,England,Ireland,4,0,British Championship,England,FALSE
01/03/1909,Wales,Scotland,3,2,British Championship,Wales,FALSE
13/03/1909,England,Germany,9,0,Friendly,England,FALSE
15/03/1909,Scotland,Ireland,5,0,British Championship,Scotland,FALSE
15/03/1909,England,Wales,2,0,British Championship,England,FALSE
20/03/1909,Ireland,Wales,2,3,British Championship,Ireland,FALSE
21/03/1909,Belgium,Netherlands,1,4,Friendly,Belgium,FALSE
03/04/1909,England,Scotland,2,0,British Championship,England,FALSE
04/04/1909,Hungary,Germany,3,3,Friendly,Hungary,FALSE
04/04/1909,Germany,Switzerland,1,0,Friendly,Germany,FALSE
12/04/1909,Netherlands,England,0,4,Friendly,Netherlands,FALSE
19/04/1909,England,Belgium,11,2,Friendly,England,FALSE
25/04/1909,Netherlands,Belgium,4,1,Friendly,Netherlands,FALSE
02/05/1909,Austria,Hungary,3,4,Friendly,Austria,FALSE
09/05/1909,Belgium,France,5,2,Friendly,Belgium,FALSE
20/05/1909,Switzerland,England,0,9,Friendly,Switzerland,FALSE
22/05/1909,France,England,0,11,Friendly,France,FALSE
29/05/1909,Hungary,England,2,4,Friendly,Hungary,FALSE
30/05/1909,Hungary,Austria,1,1,Friendly,Hungary,FALSE
31/05/1909,Hungary,England,2,8,Friendly,Hungary,FALSE
01/06/1909,Austria,England,1,8,Friendly,Austria,FALSE
15/08/1909,Argentina,Uruguay,2,1,Lipton Cup,Argentina,FALSE
19/09/1909,Uruguay,Argentina,2,2,Newton Cup,Uruguay,FALSE
10/10/1909,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Argentina,FALSE
06/11/1909,England,Sweden,7,0,Friendly,England,FALSE
07/11/1909,Hungary,Austria,2,2,Friendly,Hungary,FALSE
11/12/1909,England,Netherlands,9,1,Friendly,England,FALSE
12/02/1910,Ireland,England,1,1,British Championship,Ireland,FALSE
05/03/1910,Scotland,Wales,1,0,British Championship,Scotland,FALSE
13/03/1910,Belgium,Netherlands,3,2,Friendly,Belgium,FALSE
14/03/1910,Wales,England,0,1,British Championship,Wales,FALSE
19/03/1910,Ireland,Scotland,1,0,British Championship,Ireland,FALSE
26/03/1910,Belgium,England,2,2,Friendly,Belgium,FALSE
02/04/1910,Scotland,England,2,0,British Championship,Scotland,FALSE
03/04/1910,France,Belgium,0,4,Friendly,France,FALSE
03/04/1910,Switzerland,Germany,2,3,Friendly,Switzerland,FALSE
09/04/1910,England,Switzerland,6,1,Friendly,England,FALSE
10/04/1910,Netherlands,Belgium,7,0,Friendly,Netherlands,FALSE
11/04/1910,Wales,Ireland,4,1,British Championship,Wales,FALSE
16/04/1910,England,France,10,1,Friendly,England,FALSE
24/04/1910,Netherlands,Germany,4,2,Friendly,Netherlands,FALSE
01/05/1910,Austria,Hungary,2,1,Friendly,Austria,FALSE
05/05/1910,Denmark,England,2,1,Friendly,Denmark,FALSE
15/05/1910,Italy,France,6,2,Friendly,Italy,FALSE
16/05/1910,Germany,Belgium,0,3,Friendly,Germany,FALSE
26/05/1910,Hungary,Italy,6,1,Friendly,Hungary,FALSE
27/05/1910,Argentina,Chile,3,1,Friendly,Argentina,FALSE
29/05/1910,Uruguay,Chile,3,0,Copa Cent Rev Mayo,Argentina,TRUE
05/06/1910,Argentina,Chile,5,1,Copa Cent Rev Mayo,Argentina,FALSE
12/06/1910,Argentina,Uruguay,4,1,Copa Cent Rev Mayo,Argentina,FALSE
29/06/1910,South Africa,England,0,3,Friendly,South Africa,FALSE
23/07/1910,South Africa,England,2,6,Friendly,South Africa,FALSE
30/07/1910,South Africa,England,3,6,Friendly,South Africa,FALSE
15/08/1910,Uruguay,Argentina,3,1,Lipton Cup,Uruguay,FALSE
11/09/1910,Chile,Argentina,0,3,Friendly,Chile,FALSE
11/09/1910,Norway,Sweden,0,4,Friendly,Norway,FALSE
16/10/1910,Germany,Netherlands,1,2,Friendly,Germany,FALSE
06/11/1910,Hungary,Austria,3,0,Friendly,Hungary,FALSE
13/11/1910,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Argentina,FALSE
27/11/1910,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Argentina,FALSE
01/01/1911,France,Hungary,0,3,Friendly,France,FALSE
06/01/1911,Italy,Hungary,0,1,Friendly,Italy,FALSE
08/01/1911,Switzerland,Hungary,2,0,Friendly,Switzerland,FALSE
28/01/1911,Ireland,Wales,1,2,British Championship,Ireland,FALSE
11/02/1911,England,Ireland,2,1,British Championship,England,FALSE
04/03/1911,England,Belgium,4,0,Friendly,England,FALSE
06/03/1911,Wales,Scotland,2,2,British Championship,Wales,FALSE
13/03/1911,England,Wales,3,0,British Championship,England,FALSE
18/03/1911,Scotland,Ireland,2,0,British Championship,Scotland,FALSE
19/03/1911,Belgium,Netherlands,1,5,Friendly,Belgium,FALSE
23/03/1911,France,England,0,3,Friendly,France,FALSE
26/03/1911,Germany,Switzerland,6,2,Friendly,Germany,FALSE
01/04/1911,England,Scotland,1,1,British Championship,England,FALSE
02/04/1911,Netherlands,Belgium,3,1,Friendly,Netherlands,FALSE
09/04/1911,France,Italy,2,2,Friendly,France,FALSE
14/04/1911,Germany,England,2,2,Friendly,Germany,FALSE
17/04/1911,Netherlands,England,0,1,Friendly,Netherlands,FALSE
23/04/1911,Belgium,Germany,2,1,Friendly,Belgium,FALSE
23/04/1911,Switzerland,France,5,2,Friendly,Switzerland,FALSE
30/04/1911,Uruguay,Argentina,1,2,Friendly,Uruguay,FALSE
30/04/1911,Belgium,France,7,1,Friendly,Belgium,FALSE
07/05/1911,Austria,Hungary,3,1,Friendly,Austria,FALSE
07/05/1911,Italy,Switzerland,2,2,Friendly,Italy,FALSE
21/05/1911,Switzerland,Italy,3,0,Friendly,Switzerland,FALSE
25/05/1911,Switzerland,England,1,4,Friendly,Switzerland,FALSE
18/06/1911,Sweden,Germany,2,4,Friendly,Sweden,FALSE
15/08/1911,Argentina,Uruguay,0,2,Lipton Cup,Argentina,FALSE
10/09/1911,Germany,Austria,1,2,Friendly,Germany,FALSE
17/09/1911,Uruguay,Argentina,2,3,Newton Cup,Uruguay,FALSE
17/09/1911,Sweden,Norway,4,1,Friendly,Sweden,FALSE
08/10/1911,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Uruguay,FALSE
21/10/1911,England,Denmark,3,0,Friendly,England,FALSE
22/10/1911,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Argentina,FALSE
22/10/1911,Finland,Sweden,2,5,Friendly,Finland,FALSE
29/10/1911,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Uruguay,FALSE
29/10/1911,Hungary,Switzerland,9,0,Friendly,Hungary,FALSE
29/10/1911,Luxembourg,France,1,4,Friendly,Luxembourg,FALSE
29/10/1911,Germany,Sweden,1,3,Friendly,Germany,FALSE
05/11/1911,Hungary,Austria,2,0,Friendly,Hungary,FALSE
17/12/1911,Germany,Hungary,1,4,Friendly,Germany,FALSE
28/01/1912,France,Belgium,1,1,Friendly,France,FALSE
10/02/1912,Ireland,England,1,6,British Championship,Ireland,FALSE
18/02/1912,France,Switzerland,4,1,Friendly,France,FALSE
20/02/1912,Belgium,Switzerland,9,2,Friendly,Belgium,FALSE
25/02/1912,Argentina,Uruguay,2,0,Friendly,Argentina,FALSE
02/03/1912,Scotland,Wales,1,0,British Championship,Scotland,FALSE
10/03/1912,Belgium,Netherlands,1,2,Friendly,Belgium,FALSE
11/03/1912,Wales,England,0,2,British Championship,Wales,FALSE
16/03/1912,Ireland,Scotland,1,4,British Championship,Ireland,FALSE
16/03/1912,England,Netherlands,4,0,Friendly,England,FALSE
17/03/1912,Italy,France,3,4,Friendly,Italy,FALSE
23/03/1912,Scotland,England,1,1,British Championship,Scotland,FALSE
24/03/1912,Netherlands,Germany,5,5,Friendly,Netherlands,FALSE
08/04/1912,Belgium,England,1,2,Friendly,Belgium,FALSE
13/04/1912,Wales,Ireland,2,3,British Championship,Wales,FALSE
14/04/1912,Hungary,Germany,4,4,Friendly,Hungary,FALSE
28/04/1912,Netherlands,Belgium,4,3,Friendly,Netherlands,FALSE
05/05/1912,Austria,Hungary,1,1,Friendly,Austria,FALSE
05/05/1912,Switzerland,Germany,1,2,Friendly,Switzerland,FALSE
16/06/1912,Norway,Sweden,1,2,Friendly,Norway,FALSE
20/06/1912,Sweden,Hungary,2,2,Friendly,Sweden,FALSE
23/06/1912,Norway,Hungary,0,6,Friendly,Norway,FALSE
27/06/1912,Sweden,Finland,7,1,Friendly,Sweden,FALSE
29/06/1912,Austria,Germany,5,1,Olympic Games,Sweden,TRUE
29/06/1912,Sweden,Netherlands,3,4,Olympic Games,Sweden,FALSE
29/06/1912,Finland,Italy,3,2,Olympic Games,Sweden,TRUE
30/06/1912,England,Hungary,7,0,Olympic Games,Sweden,TRUE
30/06/1912,Netherlands,Austria,3,1,Olympic Games,Sweden,TRUE
30/06/1912,Denmark,Norway,7,0,Olympic Games,Sweden,TRUE
30/06/1912,Finland,Russia,2,1,Olympic Games,Sweden,TRUE
01/07/1912,Austria,Norway,1,0,Olympic Games,Sweden,TRUE
01/07/1912,Germany,Russia,16,0,Olympic Games,Sweden,TRUE
01/07/1912,Sweden,Italy,0,1,Olympic Games,Sweden,FALSE
02/07/1912,England,Finland,4,0,Olympic Games,Sweden,TRUE
02/07/1912,Denmark,Netherlands,4,1,Olympic Games,Sweden,TRUE
03/07/1912,Austria,Italy,5,1,Olympic Games,Sweden,TRUE
03/07/1912,Hungary,Germany,3,1,Olympic Games,Sweden,TRUE
04/07/1912,England,Denmark,4,2,Olympic Games,Sweden,TRUE
04/07/1912,Netherlands,Finland,9,0,Olympic Games,Sweden,TRUE
05/07/1912,Hungary,Austria,3,0,Olympic Games,Sweden,TRUE
05/07/1912,Norway,Russia,2,1,Friendly,Sweden,TRUE
12/07/1912,Russia,Hungary,0,9,Friendly,Russia,FALSE
14/07/1912,Russia,Hungary,0,12,Friendly,Russia,FALSE
15/08/1912,Uruguay,Argentina,2,0,Lipton Cup,Uruguay,FALSE
25/08/1912,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Uruguay,FALSE
22/09/1912,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Argentina,FALSE
06/10/1912,Argentina,Uruguay,3,3,Newton Cup,Argentina,FALSE
06/10/1912,Denmark,Germany,3,1,Friendly,Denmark,FALSE
03/11/1912,Hungary,Austria,4,0,Friendly,Hungary,FALSE
03/11/1912,Sweden,Norway,4,2,Friendly,Sweden,FALSE
09/11/1912,England,Belgium,4,0,Friendly,England,FALSE
17/11/1912,Germany,Netherlands,2,3,Friendly,Germany,FALSE
01/12/1912,Uruguay,Argentina,1,3,Montevideo Cup,Uruguay,FALSE
22/12/1912,Italy,Austria,1,3,Friendly,Italy,FALSE
12/01/1913,France,Italy,1,0,Friendly,France,FALSE
18/01/1913,Ireland,Wales,0,1,British Championship,Ireland,FALSE
04/02/1913,Philippines,China,2,1,Far Eastern Games,Philippines,FALSE
15/02/1913,Ireland,England,2,1,British Championship,Ireland,FALSE
16/02/1913,Belgium,France,3,0,Friendly,Belgium,FALSE
